p_id,first_name,height_feet,height_inches,last_name,position,weight_pounds,id,abbreviation,city,conference,division,full_name,name
604,Mitch,,,Richmond,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
605,Kevin,,,Edwards,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
606,Haywoode,,,Workman,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
607,Tom,,,Hammonds,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
608,Rumeal,,,Robinson,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
609,Greg,,,Kite,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
610,Vinnie,,,Johnson,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
611,Jack,,,Sikma,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
612,Delaney,,,Rudd,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
613,Ed,,,Nealy,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
614,Wayne,,,Cooper,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
615,Sleepy,,,Floyd,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
616,Felton,,,Spencer,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
617,Tyrone,,,Corbin,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
618,Marcus,,,Liberty,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
619,Walter,,,Davis,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
620,Tyrone,,,Hill,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
621,Alec,,,Kessler,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
622,Terry,,,Davis,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
623,Larry,,,Robinson,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
624,Sidney,,,Moncrief,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
625,Jeff,,,Turner,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
626,Scott,,,Hastings,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
627,Alvin,,,Robertson,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
628,Steve,,,Henson,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
629,Andy,,,Toolson,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
630,Thurl,,,Bailey,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
631,Kurt,,,Rambis,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
632,Clyde,,,Drexler,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
633,David,,,Wood,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
634,Sam,,,Mitchell,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
635,Rodney,,,McCray,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
636,Blair,,,Rasmussen,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
637,Kevin,,,Pritchard,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
638,Milt,,,Wagner,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
639,Bernard,,,King,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
640,Roy,,,Hinson,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
641,Matt,,,Bullard,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
642,Alan,,,Ogg,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
643,Kevin,,,Lynch,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
644,Larry,,,Krystkowiak,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
645,Pete,,,Chilcutt,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
646,Randy,,,Brown,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
647,Elliot,,,Perry,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
648,Jimmy,,,Oliver,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
649,Terrell,,,Brandon,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
650,Greg,,,Sutton,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
651,Tom,,,Copa,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
652,Donald,,,Hodge,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
653,Joao,,,Vianna,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
654,Mike,,,Iuzzolino,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
655,Greg,,,Anthony,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
656,Albert,,,King,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
657,Tellis,,,Frank,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
658,David,,,Benoit,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
659,Demetrius,,,Calip,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
660,Dikembe,,,Mutombo,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
661,Mark,,,Macon,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
662,Chris,,,Gatling,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
663,Victor,,,Alexander,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
664,Mark,,,Randall,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
665,Mitchell,,,Wiggins,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
666,Tharon,,,Mayes,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
667,Charles,,,Thomas,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
668,Robert,,,Pack,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
669,John,,,Bagley,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
670,Rick,,,Fox,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
671,Larry,,,Johnson,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
672,Alexander,,,Volkov,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
673,Stacey,,,Augmon,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
674,Carl,,,Thomas,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
675,Steven,,,Smith,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
676,Stanley,,,Roberts,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
677,Doug,,,Lee,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
678,Rafael,,,Addison,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
679,Sean,,,Green,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
680,Corey,,,Crowder,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
681,Eric,,,Murdock,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
682,Kevin,,,Brooks,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
683,Carlton,,,McKinney,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
684,Billy,,,Owens,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
685,Doug,,,Smith,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
686,Marty,,,Conlon,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
687,Rich,,,King,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
688,Brad,,,Sellers,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
689,Rodney,,,Monroe,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
690,Lanard,,,Copeland,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
691,LeRon,,,Ellis,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
692,Larry,,,Stewart,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
693,John,,,Turner,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
694,Charles,,,Shackleford,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
695,Keith,,,Owens,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
696,Paul,,,Graham,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
697,Kenny,,,Anderson,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
698,Carl,,,Herrera,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
699,Myron,,,Brown,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
700,Dale,,,Davis,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
701,Labradford,,,Smith,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
702,Bison,,,Dele,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
703,Chuck,,,Nevitt,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
704,Patrick,,,Eddie,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
705,David,,,Rivers,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
706,Luc,,,Longley,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
707,Bob,,,McCann,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
708,Donald,,,Royal,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
709,Anthony,,,Bowie,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
710,Chris,,,Corchiani,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
711,Stephen,,,Thompson,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
712,Jeff,,,Ruland,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
713,Ronnie,,,Grandison,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
714,Lamont,,,Strothers,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
715,Tracy,,,Moore,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
716,Jaren,,,Jackson,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
717,Ennis,,,Whatley,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
718,Brian,,,Howard,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
719,Steve,,,Burtt,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
720,Cedric,,,Hunter,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
721,Stephen,,,Bardo,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
722,Cliff,,,T. Robinson,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
723,Derek,,,Strong,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
724,Bobby,,,Phills,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
725,Anthony,,,Avent,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
726,Lee,,,Mayberry,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
727,Todd,,,Day,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
728,Tony,,,Bennett,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
729,Brent,,,Price,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
730,Don,,,MacLean,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
731,Tom,,,Gugliotta,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
732,Walt,,,Williams,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
733,Lloyd,,,Daniels,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
734,Vinny,,,Del Negro,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
735,Shaquille,,,O'Neal,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
736,Adam,,,Keefe,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
737,Clar.,,,Weatherspoon,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
738,Robert,,,Horry,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
739,Chris,,,Smith,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
740,Christian,,,Laettner,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
741,Gundars,,,Vetra,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
742,Corey,,,Williams,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
743,Elmore,,,Spencer,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
744,Anthony,,,Peeler,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
745,Duane,,,Cooper,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
746,John,,,Crotty,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
747,Stephen,,,Howard,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
748,Byron,,,Houston,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
749,Keith,,,Jennings,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
750,Latrell,,,Sprewell,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
751,Bryant,,,Stith,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
752,LaPhonso,,,Ellis,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
753,Matt,,,Othick,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
754,Sam,,,Mack,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
755,Anthony,,,Pullard,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
756,Malik,,,Sealy,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
757,Hubert,,,Davis,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
758,Sean,,,Rooks,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
759,Walter,,,Bond,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
760,Harold,,,Miner,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
761,Oliver,,,Miller,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
762,Lorenzo,,,Williams,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
